geounit,gdp_md_est
Kosovo,5352
Somaliland,12250
Northern Cyprus,3600
Afghanistan,22270
Angola,110300
Albania,21810
United Arab Emirates,184300
Argentina,573900
Armenia,18770
Antarctica,760.4
French Southern and Antarctic Lands,16
Australia,800200
Austria,329500
Azerbaijan,77610
Burundi,3102
Belgium,389300
Benin,12830
Burkina Faso,17820
Bangladesh,224000
Bulgaria,93750
The Bahamas,9093
Bosnia and Herzegovina,29700
Belarus,114100
Belize,2536
Bolivia,43270
Brazil,1993000
Brunei,20250
Bhutan,3524
Botswana,27060
Central African Republic,3198
Canada,1300000
Switzerland,316700
Chile,244500
China,7973000
Ivory Coast,33850
Cameroon,42750
Democratic Republic of the Congo,20640
Republic of Congo,15350
Colombia,395400
Costa Rica,48320
Cuba,108200
Cyprus,22700
Czech Republic,265200
Germany,2918000
Djibouti,1885
Denmark,203600
Dominican Republic,78000
Algeria,232900
Ecuador,107700
Egypt,443700
Eritrea,3945
Western Sahara,-99
Spain,1403000
Estonia,27410
Ethiopia,68770
Finland,193500
Fiji,3579
Falkland Islands,105.1
France,2128000
Gabon,21110
United Kingdom,1977704
Georgia,21510
Ghana,34200
Guinea,10600
Gambia,2272
Guinea Bissau,904.2
Equatorial Guinea,14060
Greece,343000
Greenland,1100
Guatemala,68580
Guyana,2966
Honduras,33720
Croatia,82390
Haiti,11500
Hungary,196600
Indonesia,914600
India,3297000
Ireland,188400
Iran,841700
Iraq,103900
Iceland,12710
Israel,201400
Italy,1823000
Jamaica,20910
Jordan,31610
Japan,4329000
Kazakhstan,175800
Kenya,61510
Kyrgyzstan,11610
Cambodia,27940
South Korea,1335000
Kuwait,149100
Laos,13980
Lebanon,44060
Liberia,1526
Libya,88830
Sri Lanka,91870
Lesotho,3293
Lithuania,63330
Luxembourg,39370
Latvia,38860
Morocco,136600
Moldova,10670
Madagascar,20130
Mexico,1563000
Macedonia,18780
Mali,14590
Myanmar,55130
Montenegro,6816
Mongolia,9476
Mozambique,18940
Mauritania,6308
Malawi,11810
Malaysia,384300
Namibia,13250
New Caledonia,3158
Niger,10040
Nigeria,335400
Nicaragua,16790
Netherlands,672000
Norway,276400
Nepal,31080
New Zealand,116700
Oman,66980
Pakistan,427300
Panama,38830
Peru,247300
Philippines,317500
Papua New Guinea,13210
Poland,667900
Puerto Rico,70230
North Korea,40000
Portugal,208627
Paraguay,28890
Palestine,11950.77
Qatar,91330
Romania,271400
Russia,2266000
Rwanda,9706
Saudi Arabia,576500
Sudan,88080
Senegal,21980
Solomon Islands,1078
Sierra Leone,4285
El Salvador,43630
Somalia,5524
Republic of Serbia,80340
South Sudan,13227
Suriname,4254
Slovakia,119500
Slovenia,59340
Sweden,344300
Swaziland,5702
Syria,98830
Chad,15860
Togo,5118
Thailand,547400
Tajikistan,13160
Turkmenistan,29780
East Timor,2520
Trinidad and Tobago,29010
Tunisia,81710
Turkey,902700
Taiwan,712000
Tanzania,54250
Uganda,39380
Ukraine,339800
Uruguay,43160
United States of America,15094000
Uzbekistan,71670
Venezuela,357400
Vietnam,241700
Vanuatu,988.5
Yemen,55280
South Africa,491000
Zambia,17500
Zimbabwe,9323
